"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement"
"LD072253","LD072253","HSS-1031610","7K1LGC3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","D Wing","D086 (Sarah Thompson)","1","REQ0424501-RITM0445072-SCTASK0700452","02/28/2030"
"","79XKGC3","HSS-1031611","79XKGC3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","D90","1","REQ0424501-RITM0445072-SCTASK0700452","02/28/2030"
"LD085713","LD059816","HSS-1031616","GH1LGC3","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","Main","Reception","2","REQ0429314-RITM0450048-SCTASK0702638","02/28/2030"
"LD085713","LD059816","HSS-1031617","48XKGC3","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","Main","Reception","2","REQ0429314-RITM0450048-SCTASK0702638","02/28/2030"
"","LD059791","HSS-1031621","68XKGC3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main","10","2","REQ0430726-RITM0451556-SCTASK0698870","02/28/2030"
"LD059790","LD059790","HSS-1031630","49XKGC3","VIHA-OHC-Oceanside Health Centre","","","","REQ0430730-RITM0451560-SCTASK0698751","02/28/2030"
"PC071388","PC071388","HSS-1031643","98XKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G178B Back office","","REQ0358379-RITM0375381-SCTASK0711456","02/28/2030"
"PC071388","PC071388","HSS-1031644","BR1LGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G178B Back office","","REQ0358379-RITM0375381-SCTASK0711456","02/28/2030"
"PC071383","PC071383","HSS-1031645","7R1LGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","PC2047","","REQ0431279-RITM0452130-SCTASK0706673","02/28/2030"
"PC071383","PC071383","HSS-1031646","BCXKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","PC2047","","REQ0431279-RITM0452130-SCTASK0706673","02/28/2030"
"PC071390","PC071390","HSS-1031647","9CXKGC3","VIHA-FHMH-Floral House Mental Health-Main Building-1st Floor","Main Building","RM 2","2","REQ0435176-RITM0456232-SCTASK0712207","02/28/2030"
"","8G0LGC3","HSS-1031674","8G0LGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Basement 1","Ambulatory","B253","B","REQ0439990-RITM0461274-SCTASK0721792","02/28/2030"
"LD059846","LD059846","HSS-1031724","CG0LGC3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","300 - Cubicles","3","REQ0434331-RITM0455322-SCTASK0715775","02/28/2030"
"LD059846","LD059846","HSS-1031725","9G0LGC3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","300 - Cubicles","3","REQ0434331-RITM0455322-SCTASK0715775","02/28/2030"
"LD065803","LD059840","HSS-1031730","BQ0LGC3","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","Main Building","??? (TBD)","2","REQ0435068-RITM0456116-SCTASK0711106","02/28/2030"
"LD057905","LD057905","HSS-1031731","GPVKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G009","G","REQ0435772-RITM0456857-SCTASK0714216","02/28/2030"
"LD057905","LD057905","HSS-1031732","DXVKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G009","G","REQ0435772-RITM0456857-SCTASK0714216","02/28/2030"
"","LD057833","HSS-1031733","4P0LGC3","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Unit 22","?","1","REQ0425589-RITM0446214-SCTASK0691857","02/28/2030"
"","LD057833","HSS-1031734","BQVKGC3","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Unit 22","?","1","REQ0425589-RITM0446214-SCTASK0691857","02/28/2030"
"PC076746","PC076746","HSS-1031743","GH0LGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G011","","REQ0435769-RITM0456854-SCTASK0725521","02/28/2030"
"PC076746","PC076746","HSS-1031744","DH0LGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G011","","REQ0435769-RITM0456854-SCTASK0725521","02/28/2030"
"","LD059916","HSS-1031745","BC0LGC3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main","OHC240 - Desk 294","2","REQ0438985-RITM0460232-SCTASK0722781","02/28/2030"
"LD061659","LD059916","HSS-1031746","CC0LGC3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main building","Desk 221","2","REQ0438985-RITM0460232-SCTASK0722781","02/28/2030"
"PC071396","PC071396","HSS-1031753","HCWKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","On-call Room 2077","2","REQ0433879-RITM0454829-SCTASK0716685","02/28/2030"
"LD066543","FCWKGC3","HSS-1031757","FCWKGC3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","100","1","REQ0435588-RITM0456666-SCTASK0710446","02/28/2030"
"LD065897","LD065897","HSS-1031770","DCWKGC3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","OHC240 - Desk 203 (Claire Webb)","2","REQ0450521-RITM0472263-SCTASK0738461","02/28/2030"
"LD065897","LD065897","HSS-1031771","1D0LGC3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","OHC240 - Desk 203 (Claire Webb)","2","REQ0450521-RITM0472263-SCTASK0738461","02/28/2030"
"LD057985","LD057985","HSS-1031775","FYZKGC3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","257 (W118)","2","REQ0449657-RITM0471359-SCTASK0731897","02/28/2030"
"LD057985","LD057985","HSS-1031776","4D0LGC3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","257 (W118)","2","REQ0449657-RITM0471359-SCTASK0731897","02/28/2030"
"LD059880","LD059880","HSS-1031777","190LGC3","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Unit ?","WFH - Erik Conroy","1","REQ0440425-RITM0461712-SCTASK0716774","02/28/2030"
"LD059880","LD059880","HSS-1031778","JC0LGC3","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Unit ?","WFH - Erik Conroy","1","REQ0440425-RITM0461712-SCTASK0716774","02/28/2030"
"LD059879","LD059879","HSS-1031779","3DWKGC3","VIHA-NBC-Nanaimo Bowen Centre","","","","REQ0440432-RITM0461719-SCTASK0716764","02/28/2030"
"LD059879","LD059879","HSS-1031780","HC0LGC3","VIHA-NBC-Nanaimo Bowen Centre","","","","REQ0440432-RITM0461719-SCTASK0716764","02/28/2030"
"PC076774","PC076774","HSS-1031782","CVZGGC3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","Penthouse","","REQ0444867-RITM0466326-SCTASK0738442","02/28/2030"
"PC076774","PC076774","HSS-1031783","D90LGC3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","Penthouse","","REQ0444867-RITM0466326-SCTASK0738442","02/28/2030"
"LD059996","LD059996","HSS-1031828","51WKGC3","VIHA-DSS-Duncan Station Street-Main Building-2nd Floor","Main Building","Office 3","2","REQ0445938-RITM0467442-SCTASK0746097","02/28/2030"
"LD059996","LD059996","HSS-1031829","G11LGC3","VIHA-DSS-Duncan Station Street-Main Building-2nd Floor","Main Building","Office 3","2","REQ0445938-RITM0467442-SCTASK0746097","02/28/2030"
"","LD057954","HSS-1031900","564HGC3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","WFH - Jennifer Sirup","2","REQ0447848-RITM0469431-SCTASK0727900","02/28/2030"
"","LD057954","HSS-1031901","7Q0LGC3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","WFH - Jennifer Sirup","2","REQ0447848-RITM0469431-SCTASK0727900","02/28/2030"
"PC029018","PC029018","HSS-1031942","CQ0LGC3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4019 (Patient Care Coordinator)","4th","REQ0450997-RITM0472756-SCTASK0748529","02/28/2030"
"LD067529","LD067529","HSS-1032011","BVVKGC3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main","WFH","3","REQ1221089-RITM1286324-SCTASK2090241","02/28/2030"
"LD080097","LD057962","HSS-1032013","G9WKGC3","VIHA-OHC-Oceanside Health Centre","Main","Desk 278","2","REQ0431048-RITM0451893-SCTASK0729524","02/28/2030"
"LD044471","LD044471","HSS-1032018","DSZGGC3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","OHC240 - Desk 283","2nd Floor","REQ0431048-RITM0451892-SCTASK0729531","02/28/2030"
"LD080097","LD057963","HSS-1032019","9HVKGC3","VIHA-OHC-Oceanside Health Centre","Main","Desk 278","2","REQ0431048-RITM0451892-SCTASK0729531","02/28/2030"
"LD045815","LD045815","HSS-1032045","7VVKGC3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4036","4","REQ0462716-RITM0485135-SCTASK0754556","02/28/2030"
"","LD060033","HSS-1032048","3SZGGC3","VIHA-NRGH-Nanaimo Regional General Hospital","","B022","","REQ0464740-RITM0487278-SCTASK0754963","02/28/2030"
"","LD060033","HSS-1032049","C9WKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B004 - Daryl Dry's Laptop","B","REQ0464740-RITM0487278-SCTASK0754963","02/28/2030"
"LD071032","LD071032","HSS-1032050","4HWKGC3","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","Outreach room","G","REQ0463529-RITM0485990-SCTASK0754880","02/28/2030"
"LD071032","LD071032","HSS-1032051","4KVKGC3","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","Outreach room","G","REQ0463529-RITM0485990-SCTASK0754880","02/28/2030"
"LD071033","LD071033","HSS-1032052","3KVKGC3","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","Outreach room","G","REQ0463522-RITM0485983-SCTASK0754932","02/28/2030"
"LD071033","LD071033","HSS-1032053","JZVKGC3","VIHA-MMHU-Margaret Moss Building-Main Building-Basement 1","Main Building","Outreach room","G","REQ0463522-RITM0485983-SCTASK0754932","02/28/2030"
"PC036116","PC036116","HSS-1032075","HN0LGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1120","1st Floor","REQ0464813-RITM0487351-SCTASK0761435","02/28/2030"
"LD060088","LD060088","HSS-1032266","5XCMKF3","VIHA-NWR-Nanaimo Waddington Road-Main Building-2nd Floor","Main","?","2","REQ0474559-RITM0497713-SCTASK0779107","03/31/2030"
"LD060151","LD060151","HSS-1032336","9FHKKF3","VIHA-DSS-Duncan Station Street-Main Building-2nd Floor","Main Building","Office 1","2","REQ0480509-RITM0503907-SCTASK0790728","03/31/2030"
"LD060151","LD060151","HSS-1032337","J8LLKF3","VIHA-DSS-Duncan Station Street-Main Building-2nd Floor","Main Building","Office 1","2","REQ0480509-RITM0503907-SCTASK0790728","03/31/2030"
"LD071170","LD071170","HSS-1032338","CV2LGC3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","119B (Home & Community Care)","1","REQ0478549-RITM0501868-SCTASK0790966","03/31/2030"
"LD071170","LD071170","HSS-1032339","FC6MKF3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","119B (Home & Community Care)","1","REQ0478549-RITM0501868-SCTASK0790966","03/31/2030"
"LD071175","LD071175","HSS-1032340","55FKGC3","VIHA-DSS-Duncan Station Street-Main Building-2nd Floor","Main Building","Office 4","2","REQ0480507-RITM0503905-SCTASK0791104","03/31/2030"
"LD071175","LD071175","HSS-1032341","74CKKF3","VIHA-DSS-Duncan Station Street-Main Building-2nd Floor","Main Building","Office 4","2","REQ0480507-RITM0503905-SCTASK0791104","03/31/2030"
"LD071171","LD071171","HSS-1032342","FFHKKF3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","122 (Home & Community Care)","1","REQ0479198-RITM0502558-SCTASK0790987","03/31/2030"
"LD071171","LD071171","HSS-1032343","9QBMKF3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","122 (Home & Community Care)","1","REQ0479198-RITM0502558-SCTASK0790987","03/31/2030"
"PC076878","PC076878","HSS-1032535","CDHKKF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1099 - Histology","","REQ0447771-RITM0469343-SCTASK0802300","04/30/2030"
"LD071275","LD071275","HSS-1032774","J89JRH3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G229 - Manager","G","REQ0500606-RITM0525149-SCTASK0818812","04/30/2030"
"LD071256","LD071256","HSS-1032793","2W8JRH3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G036 (Laundry Room Area)","G","REQ0500602-RITM0525145-SCTASK0815530","04/30/2030"
"PC071537","PC071537","HSS-1032795","GBCJRH3","VIHA-CPRC-Cairnsmore Place (CDH)-Main Building-1st Floor","Old Building","RM# 51 (Laundry room)","1","REQ0499942-RITM0524467-SCTASK0818621","04/30/2030"
"LD071343","LD071343","HSS-1032807","83GJRH3","VIHA-NER-Nanaimo Estevan Road","","","","REQ0509680-RITM0534748-SCTASK0830431","05/31/2030"
"LD066524","LD066524","HSS-1032827","979JRH3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","OHC240 - Desk 282","2nd Floor","REQ0508313-RITM0533290-SCTASK0828014","05/31/2030"
"LD066524","LD066524","HSS-1032828","BXCJRH3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","OHC240 - Desk 282","2nd Floor","REQ0508313-RITM0533290-SCTASK0828014","05/31/2030"
"PC076598","169JRH3","HSS-1032835","169JRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B28 (Staff Scheduling)","1st","REQ0498433-RITM0522778-SCTASK0819260","05/31/2030"
"LD040889","9BGJRH3","HSS-1032941","9BGJRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B47","1","REQ0498664-RITM0523039-SCTASK0818780","05/31/2030"
"LD060330","LD060330","HSS-1032984","B59JRH3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Trailer","Trailer 2 (Respiratory Assessment Trailer)","G","REQ0509453-RITM0534511-SCTASK0828954","05/31/2030"
"LD060330","LD060330","HSS-1032985","9MFJRH3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Trailer","Trailer 2 (Respiratory Assessment Trailer)","G","REQ0509453-RITM0534511-SCTASK0828954","05/31/2030"
"LD060309","LD060309","HSS-1032988","G39JRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","?","1","REQ0502881-RITM0527567-SCTASK0824017","05/31/2030"
"LD060309","LD060309","HSS-1032989","CW9JRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","?","1","REQ0502881-RITM0527567-SCTASK0824017","05/31/2030"
"PC047882","PC047882","HSS-1033028","BF7JRH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1118B (Education Room)","1st","REQ0513964-RITM0539299-SCTASK0843336","05/31/2030"
"LD031400","C4CJRH3","HSS-1033033","C4CJRH3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G102B","G","REQ0515150-RITM0540536-SCTASK0837451","05/31/2030"
"","HSS-1033036-M1","HSS-1033036","93CJRH3","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","","#35","2","REQ0514979-RITM0540356-SCTASK0844041","05/31/2030"
"","HSS-1033037-M2","HSS-1033037","CF7JRH3","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","","#35","","REQ0514979-RITM0540356-SCTASK0844041","05/31/2030"
"LD060362","LD060362","HSS-1033042","23CJRH3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","06 ()","1","REQ0512362-RITM0537590-SCTASK0835156","05/31/2030"
"LD060362","LD060362","HSS-1033043","97CJRH3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","06 ()","1","REQ0512362-RITM0537590-SCTASK0835156","05/31/2030"
"PC031819","PC031819","HSS-1033052","6X8JRH3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","Reception","","REQ0512352-RITM0537580-SCTASK0835188","05/31/2030"
"LD038433","LD038433","HSS-1033053","4X8JRH3","VIHA-DGSHC-Duncan Government Street Health Centre-Main Building-1st Floor","Main Building","Reception","1","REQ0512352-RITM0537580-SCTASK0835188","05/31/2030"
"LD071372","LD071372","HSS-1033064","8F7JRH3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G192","G","REQ0509544-RITM0534609-SCTASK0837449","05/31/2030"
"LD067465","GB2JRH3","HSS-1033234","GB2JRH3","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Main Building","#25","1","REQ0520569-RITM0546310-SCTASK0854084","05/31/2030"
"LD067465","C5PGRH3","HSS-1033235","C5PGRH3","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Main Building","#25","1","REQ0520569-RITM0546310-SCTASK0854084","05/31/2030"
"LD065900","LD063958","HSS-1033238","6XVHRH3","VIHA-NRGH-Nanaimo Regional General Hospital-Payroll Portable-1st Floor","FMO Portable","Office","1","REQ0516883-RITM0542400-SCTASK0851159","05/31/2030"
"LD065900","LD063958","HSS-1033239","66PGRH3","VIHA-NRGH-Nanaimo Regional General Hospital-Payroll Portable-1st Floor","FMO Portable","Office","1","REQ0516883-RITM0542400-SCTASK0851159","05/31/2030"
"LD038244","LD060477","HSS-1033345","CMQHRH3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2084 (Christine S)","2","REQ0529062-RITM0555278-SCTASK0864771","05/31/2030"
"LD038244","LD060477","HSS-1033346","9MQHRH3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2084 (Christine S)","2","REQ0529062-RITM0555278-SCTASK0864771","05/31/2030"
"LD085712","HSS-1033347","HSS-1033347","3QFJRH3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","258 (W121) Jodi Worth","2","REQ0527056-RITM0553198-SCTASK0861901","05/31/2030"
"LD067452","16CJRH3","HSS-1033408","16CJRH3","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Main Building","#25","1","REQ0519941-RITM0545648-SCTASK0855477","05/31/2030"
"LD067452","9CCJRH3","HSS-1033409","9CCJRH3","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Main Building","#25","1","REQ0519941-RITM0545648-SCTASK0855477","05/31/2030"
"PC021150","CX7HRH3","HSS-1033482","CX7HRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B38","1","REQ0535989-RITM0562527-SCTASK0879931","05/31/2030"
"LD071617","LD071617","HSS-1033544","DZ7HRH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","114A","1","REQ0532735-RITM0559069-SCTASK0874506","05/31/2030"
"LD071617","LD071617","HSS-1033545","972JRH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","114A","1","REQ0532735-RITM0559069-SCTASK0874506","05/31/2030"
"LD066855","LD030747","HSS-1033547","JSQHRH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","Family Practice - Erin room","1","REQ0532767-RITM0559101-SCTASK0872136","05/31/2030"
"LD066855","LD030747","HSS-1033548","B72JRH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","Family Practice - Erin room","1","REQ0532767-RITM0559101-SCTASK0872136","05/31/2030"
"LD100017","BX7HRH3","HSS-1033551","BX7HRH3","VIHA-DJS-Duncan Jubilee Street-Main Building-1st Floor","Main Building","RM6 ( Kirsten's Office)","1","REQ0532010-RITM0558302-SCTASK0874527","05/31/2030"
"LD045939","LD071620","HSS-1033552","492JRH3","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor","Main Building","209","2","REQ0532010-RITM0558302-SCTASK0874527","05/31/2030"
"LD023068","LD023068","HSS-1033557","B5WHRH3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","363 - (Karen Gjevre's)","3","REQ0530812-RITM0557078-SCTASK0874446","05/31/2030"
"LD023068","LD023068","HSS-1033558","8WVHRH3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","363 - (Karen Gjevre's)","3","REQ0530812-RITM0557078-SCTASK0874446","05/31/2030"
"LD060534","LD060534","HSS-1033559","F52JRH3","VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor","Main Building","Reception","1","REQ0532035-RITM0558327-SCTASK0874447","05/31/2030"
"LD060534","LD060534","HSS-1033560","3WVHRH3","VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor","Main Building","Reception","1","REQ0532035-RITM0558327-SCTASK0874447","05/31/2030"
"LD061622","LD060547","HSS-1033563","DLCJRH3","VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor","Main Building","3 (CN)","1","REQ0532028-RITM0558320-SCTASK0875895","05/31/2030"
"","HSS-1033571","HSS-1033571","DK9JRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B33","1","REQ0533203-RITM0559555-SCTASK0883775","05/31/2030"
"PC030053","5R9JRH3","HSS-1033764","5R9JRH3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","E1209 - Dr.'s Office","","REQ0536923-RITM0563518-SCTASK0890304","06/30/2030"
"LD065565","GSFJRH3","HSS-1033816","GSFJRH3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G178B - Front Office","G","REQ0546813-RITM0574025-SCTASK0898404","06/30/2030"
"LD065565","F89JRH3","HSS-1033817","F89JRH3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G178B - Front Office","G","REQ0546813-RITM0574025-SCTASK0898404","06/30/2030"
"PC021150","2JFJRH3","HSS-1033819","2JFJRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B38","1","REQ0547881-RITM0575137-SCTASK0901900","06/30/2030"
"LD060598","LD060598","HSS-1033916","6XYGRH3","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","Main","12","1","REQ0528690-RITM0554880-SCTASK0885233","06/30/2030"
"LD060598","LD060598","HSS-1033917","9XYGRH3","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","Main","12","1","REQ0528690-RITM0554880-SCTASK0885233","06/30/2030"
"LD060579","LD060599","HSS-1033920","CVVHRH3","VIHA-NBC-Nanaimo Bowen Centre-Main Building-1st Floor","Unit 39","?","1","REQ0528679-RITM0554869-SCTASK0885247","06/30/2030"
"LD071717","LD071717","HSS-1033924","34KHRH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1039 (Rehab Area)","1","REQ0540180-RITM0566990-SCTASK0892607","06/30/2030"
"LD071717","LD071717","HSS-1033925","8VVHRH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1039 (Rehab Area)","1","REQ0540180-RITM0566990-SCTASK0892607","06/30/2030"
"LD034245","LD034245","HSS-1033982","82PGRH3","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","#40 - 1925","8","1","REQ0529170-RITM0555388-SCTASK0885141","06/30/2030"
"LD034245","LD034245","HSS-1033983","9LTGRH3","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","#40 - 1925","8","1","REQ0529166-RITM0555384-SCTASK0882612","06/30/2030"
"PC078128","1M3HRH3","HSS-1034000","1M3HRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","Sun Room","","REQ0547867-RITM0575123-SCTASK0911174","06/30/2030"
"LD060641","LD060641","HSS-1034024","3MTGRH3","VIHA-OHC-Oceanside Health Centre","","","","REQ0543749-RITM0570812-SCTASK0898199","06/30/2030"
"LD060641","LD060641","HSS-1034025","CLQHRH3","VIHA-OHC-Oceanside Health Centre","","","","REQ0543749-RITM0570812-SCTASK0898199","06/30/2030"
"TD035003","2KBMKF3","HSS-1034076","2KBMKF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main","E0039","G","REQ0557580-RITM0585485-SCTASK0917865","06/30/2030"
"TD035003","3TCKGC3","HSS-1034077","3TCKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main","E0039","G","REQ0557580-RITM0585485-SCTASK0917865","06/30/2030"
"LD060580","LD058177","HSS-1034081","7MCKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","E0034 - Clinical Research Office","G","REQ0532736-RITM0559070-SCTASK0882613","06/30/2030"
"LD060580","LD058177","HSS-1034082","GXRKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","E0034 - Clinical Research Office","G","REQ0532736-RITM0559070-SCTASK0882613","06/30/2030"
"PC090567","LD062387","HSS-1034135","1GYKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","1073","1","REQ1239545-RITM1306205-SCTASK2097613","06/30/2030"
"LD071782","LD071782","HSS-1034191","3FHKKF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G253","G","REQ0557775-RITM0585689-SCTASK0916729","06/30/2030"
"LD071782","LD071782","HSS-1034192","CD7LKF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G253","G","REQ0557775-RITM0585689-SCTASK0916729","06/30/2030"
"LD071784","LD071784","HSS-1034195","22WLKF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G253","G","REQ0557775-RITM0585691-SCTASK0916901","06/30/2030"
"LD071784","LD071784","HSS-1034196","BDYKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G253","G","REQ0557775-RITM0585691-SCTASK0916901","06/30/2030"
"LD071776","LD071776","HSS-1034229","HP1LGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B035","B1","REQ0558427-RITM0586376-SCTASK0915894","06/30/2030"
"LD071776","LD071776","HSS-1034230","9LBMKF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","B035","B1","REQ0558427-RITM0586376-SCTASK0915894","06/30/2030"
"LD060716","LD060716","HSS-1034291","37KHRH3","VIHA-NWR-Nanaimo Waddington Road-Main Building","NWRD","2","1","REQ0561249-RITM0589303-SCTASK0921221","06/30/2030"
"LD060716","LD060716","HSS-1034292","B48HRH3","VIHA-NWR-Nanaimo Waddington Road-Main Building","NWRD","2","1","REQ0561249-RITM0589303-SCTASK0921221","06/30/2030"
"PC029581","PC065959","HSS-1034332","692JRH3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","Sunroom (Admin Area)","1","REQ0560218-RITM0588247-SCTASK0937596","06/30/2030"
