"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location"
"PC044764","HSS-8070610","9DRMPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Fast Track Room)","1","VIHATRP20230109-051","02/28/2027","12/16/2025","General Rounding","Emergency"
"PC106505","HSS-1048444","C7BQK44","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Med Room)","1","REQ1511191-RITM1594266-SCTASK2594618","12/31/2028","12/16/2025","General Rounding","Emergency"
"PC034640","HSS-8070641","JCRMPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Nurse Station)","1","VIHATRP20230109-082","02/28/2027","12/16/2025","Critical Clinical","Emergency"
"PC034777","HSS-8070637","5Y1NPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Nurse Station)","1","VIHATRP20230109-078","02/28/2027","12/16/2025","Critical Clinical","Emergency"
"PC047894","HSS-8070644","DFRMPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Nurse Station)","1","VIHATRP20230109-085","02/28/2027","12/16/2025","General Rounding","Emergency"
"PC044758","HSS-8070611","JT3MPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Nurse Station)","1","VIHATRP20230109-052","02/28/2027","12/16/2025","General Rounding","Emergency"
"PC032976","HSS-8078889","GLMVPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Nurse Station)","1","VIHATRP20231003-024","06/30/2027","12/16/2025","Critical Clinical","Emergency"
"PC033972","HSS-8065463","D4D5XP3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Nurse Station)","1","VIHATRP20220808-152","12/31/2026","12/16/2025","General Rounding","Emergency"
"PC077410","HSS-1985099","FGK25K3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Nurse Station)","1","DMND0003653 EMP","10/31/2026","12/16/2025","General Rounding","Emergency"
"PC047923","HSS-8024930","GRCJVD3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Outside Trauma - Lab Machine)","1","VIHATRP20211025-035","03/31/2026","12/16/2025","General Rounding","Emergency"
"PC040838","HSS-8065468","C5D5XP3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station - Back Wall)","1","VIHATRP20220808-157","12/31/2026","12/16/2025","General Rounding","Emergency"
"PC034778","HSS-8065467","87D5XP3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station - Back Wall)","1","VIHATRP20220808-156","12/31/2026","12/16/2025","General Rounding","Emergency"
"PC049851","HSS-8089538","3C37D14","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station - Back Wall)","1","VIHATRP20240902-062","10/31/2028","12/16/2025","General Rounding","Emergency"
"PC031282","HSS-8070636","8NYMPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station - Standing)","1","VIHATRP20230109-077","02/28/2027","12/16/2025","General Rounding","Emergency"
"PC090034","HSS-1038974","JNZ2XP3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station)","1","REQ0725799-RITM0762724-SCTASK1232707","02/28/2027","12/16/2025","General Rounding","Emergency"
"PC040835","HSS-8070625","JNYMPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station)","1","VIHATRP20230109-066","02/28/2027","12/16/2025","General Rounding","Emergency"
"PC038465","HSS-8060268","8ZF2RN3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station)","1","VIHATRP20220725-045","10/31/2026","12/16/2025","General Rounding","Emergency"
"PC029253","HSS-8070632","50HKPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1128 (Physicians Station)","1","VIHATRP20230109-073","02/28/2027","12/16/2025","General Rounding","Emergency"
"LD065194LEG","HSS-8024397","2D6Z9C3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128A","1","VIHATRP20210920-031","02/28/2026","12/15/2025","General Rounding","Specialty Care Clinic"
"LD035718","HSS-8067086","BRT44J3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128A","1","VIHATRP20221003-057","12/31/2026","12/15/2025","General Rounding","Specialty Care"
"LD061751","HSS-1036610","7GX3NN3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128A","1","REQ0644549-RITM0677115-SCTASK1084505","11/30/2026","12/15/2025","General Rounding","Specialty Care"
"LD080355","HSS-1040153","H9X3NN3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128B","1","REQ0792383-RITM0832559-SCTASK1325234","02/28/2027","12/15/2025","General Rounding","Specialty Care Clinic"
"PC036068","HSS-8092893","34BCQ54","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","","1128B","","ISLHTRP20250407-014","04/30/2029","","General Rounding","Cardiac Ambulatory"
"LD034774","HSS-8079869","D090GY3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128C","1st Floor","VIHATRP20231030-057","12/31/2027","12/15/2025","General Rounding","Specialty Care"
"PC031409","HSS-8079871","9S6VPR3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128D","1","VIHATRP20231030-059","06/30/2027","12/15/2025","General Rounding","Specialty Care Clinic"
"PC022910","HSS-8088703","4LH5724","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128E","1st Floor","VIHATRP20240722-074","09/30/2028","12/15/2025","General Rounding","Specialty Care Clinic"
"LD027425","HSS-8079936","8190GY3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128F","1","VIHATRP20231030-124","12/31/2027","06/14/2025","General Rounding","Specialty Care Clinic - Stroke Strategy"
"LD100640","HSS-1043959","G77YSQ3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","1128F","1","REQ1069624-RITM1125561-SCTASK1826682","09/30/2027","12/15/2025","General Rounding","Specialty Care Clinic"
"LD061775","HSS-1036752","HHG7NN3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128F","1","REQ0657599-RITM0690841-SCTASK1090426","11/30/2026","12/15/2025","General Rounding","Specialty Care Clinic"
"PC031921","HSS-8026044","5HC3FF3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128F","1","VIHATRP20220103-024","05/31/2026","12/15/2025","General Rounding","Specialty Care Clinic"
"PC043656","HSS-8071513","JGTLPR3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128G","1","VIHATRP20230130-079","03/31/2027","12/15/2025","General Rounding","Specialty Care Clinic"
"LD067515","HSS-1045472","HQ169W3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128H","Main","REQ1214513-RITM1279354-SCTASK2078239","03/31/2028","12/15/2025","General Rounding","Specialty Care Unit"
"AO001738","HSS-1045832","C24102M096","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","1129","1","REQ1198253-RITM1261984-SCTASK2032070","04/30/2028","06/14/2025","Mobile Cart","Specialty Care Clinic"
"LD030894","HSS-8025885","J4212J3","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-1st Floor","Annex Building","112B ()","1","VIHATRP20211220-011","04/30/2026","12/03/2025","General Rounding","(TBD)"
"LD027348","HSS-8027692","7N4D3J3","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-1st Floor","Annex Building","112B ()","1","VIHATRP20220328-017","07/31/2026","12/03/2025","General Rounding","(TBD)"
"PC036067","HSS-8060498","5ZF2RN3","Nanaimo","VIHA-NBCBC-Nanaimo Boundary Crescent Beaufort Centre-Main Building-1st Floor","Hospital Commons - Unit 7","113","Upper level","VIHATRP20220802-005","11/30/2026","10/28/2025","General Rounding","Kidney Care Clinic"
"PC075720","HSS-1940360","H6SG664","Duncan","VIHA-CUPCC-Cowichan Urgent Primary Care Centre","Main","113","1","DMND0005307","07/31/2029","","",""
"LD042743","HSS-8090007","C2RHVW3","Nanaimo","VIHA-NCST-Nanaimo Chapel Street","","113","","VIHATRP20240923-017","10/31/2028","","General Rounding","CYF CI Nanaimo Community"
"LD035815","HSS-8060943","5SR8MN3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1130","1","VIHATRP20220808-022","11/30/2026","12/02/2025","General Rounding","Emergency Department"
"PC031446","HSS-8060532","7MF5XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1130","1","VIHATRP20220802-046","11/30/2026","12/08/2025","General Rounding","Emergency Department"
"PC023829","HSS-8061432","4KF5XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1130","1","VIHATRP20220815-028","11/30/2026","12/02/2025","Critical Clinical","Emergency Department"
"AO400049","HSS-8078948","C23719M019","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1130 (Outside Triage)","1","VIHATRP20231003-084","11/30/2027","12/16/2025","Mobile Cart","Emergency"
"PC032973","HSS-8065464","B4D5XP3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1130 (Triage)","1","VIHATRP20220808-153","12/31/2026","12/16/2025","General Rounding","Emergency"
"PC045537","HSS-8070633","8JVMPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1130 (Triage)","1","VIHATRP20230109-074","02/28/2027","12/16/2025","General Rounding","Emergency"
"PC060932","HSS-8078937","7BJVPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1130 (Triage)","1","VIHATRP20231003-073","06/30/2027","12/16/2025","Critical Clinical","Emergency"
"PC064118","HSS-8079828","FYJMPR3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1132 - Admissions","1","VIHATRP20231030-016","10/31/2027","12/15/2025","General Rounding","Specialty Care Clinic"
"PC031432","HSS-8062347","CYX1RN3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1132 - Clerical","1","VIHATRP20220906-048","12/31/2026","12/15/2025","Critical Clinical","Specialty Care Clinic"
"PC031865","HSS-8070651","1W1NPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Back Hallway)","1","VIHATRP20230109-092","02/28/2027","09/19/2025","General Rounding","Ambulatory Care Unit (ACU)"
"AO005050","HSS-8093567","C23A03M041","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","ISLHTRP20250526-002","04/30/2028","09/19/2025","Mobile Cart","CHCP Hospital at Home"
"AO400566","HSS-8093569","C23A03M103","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","ISLHTRP20250526-004","04/30/2028","09/19/2025","Mobile Cart","CHCP Hospital at Home"
"AO005081","HSS-8093573","C24102M066","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","ISLHTRP20250526-008","05/31/2028","09/19/2025","Mobile Cart","CHCP Hospital at Home"
"AO005064","HSS-8093585","C24102M040","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","ISLHTRP20250526-020","05/31/2028","09/19/2025","Mobile Cart","Cowichan District Hospital."
"AO400056","HSS-8089530","C24529M147","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20240902-054","10/31/2028","09/19/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO400052","HSS-8078950","C23719M107","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20231003-086","11/30/2027","09/19/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO400059","HSS-8089540","C24529M148","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20240902-064","09/30/2028","12/05/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO400043","HSS-8083139","C23801M192","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20240205-038","03/31/2028","11/07/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO005072","HSS-8093570","C23A03M025","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","ISLHTRP20250526-005","04/30/2028","12/05/2025","Mobile Cart","CHCP Hospital at Home"
"AO400046","HSS-8078956","C23719M056","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20231003-092","11/30/2027","10/03/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"AO400020","HSS-8078951","C23719M041","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (ACU Hallway)","1","VIHATRP20231003-087","11/30/2027","09/19/2025","Mobile Cart","Ambulatory Care Unit (ACU)"
"PC035993","HSS-8078892","7CJVPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (Nurse Station)","1","VIHATRP20231003-027","06/30/2027","12/12/2025","Critical Clinical","Ambulatory Care Unit (ACU)"
"PC031855","HSS-8070650","JV1NPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (Nurse Station)","1","VIHATRP20230109-091","02/28/2027","12/12/2025","General Rounding","Ambulatory Care Unit (ACU)"
"PC031856","HSS-8065465","GQQ5XP3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (Nurse Station)","1","VIHATRP20220808-154","12/31/2026","12/12/2025","Critical Clinical","Ambulatory Care Unit (ACU)"
"PC035992","HSS-8070606","BW1NPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1134 (Nurse Station)","1","VIHATRP20230109-047","02/28/2027","12/12/2025","General Rounding","Ambulatory Care Unit (ACU)"
"PC033971","HSS-8080302","BS6VPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1137 (Procedure Room 1)","1","VIHATRP20231113-006","06/30/2027","12/12/2025","General Rounding","Ambulatory Care Unit (ACU)"
"PC052186","HSS-8083694","883RG04","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1137A - Ultrasound Tech Room","1st Floor","VIHATRP20240219-081","03/31/2028","11/09/2025","General Rounding","Ultrasound"
"PC050933","HSS-8088705","JJH5724","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1137A - Ultrasound Tech Room","1st Floor","VIHATRP20240722-076","09/30/2028","12/11/2025","General Rounding","CI Medical Imaging"
"PC031910","HSS-8060975","5Y773Q3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1137A - Ultrasound Tech Room","1","VIHATRP20220808-044","11/30/2026","11/08/2025","General Rounding","Medical Imaging"
"PC032773","HSS-8083673","120RG04","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1137A - Ultrasound Tech Room","1st Floor","VIHATRP20240219-060","03/31/2028","11/09/2025","General Rounding","Ultrasound"
"PC050935","HSS-8071519","J4HKPR3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1137A - Ultrasound Tech Room","1","VIHATRP20230130-085","03/31/2027","12/11/2025","General Rounding","Medical Imaging"
"PC060619","HSS-8061000","JX773Q3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1137A - Ultrasound Tech Room","1","VIHATRP20220808-077","11/30/2026","12/11/2025","General Rounding","Medical Imaging"
"PC061638","HSS-8071481","DP7YTH3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1137A - Ultrasound Tech Room","1","VIHATRP20230130-047","06/30/2026","12/11/2025","General Rounding","Medical Imaging"
"PC050943","HSS-8060999","JW773Q3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1137B - Ultrasound Tech area - Section Head","1","VIHATRP20220808-062","11/30/2026","12/11/2025","General Rounding","Medical Imaging"
"PC066034","HSS-8026027","5XHFNK3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","1","VIHATRP20220103-006","05/31/2026","12/11/2025","General Rounding","Medical Imaging"
"PC065077","HSS-8024063","CWVMTD3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","1","VIHATRP20210906-020","03/31/2026","12/11/2025","General Rounding","Medical Imaging"
"PC066035","HSS-8026030","BTHFNK3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","1","VIHATRP20220103-009","05/31/2026","12/11/2025","General Rounding","Medical Imaging"
"PC066046","HSS-8026036","8XHFNK3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","1","VIHATRP20220103-015","05/31/2026","12/11/2025","General Rounding","Medical Imaging"
"PC065078","HSS-8024064","CWWQTD3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","1","VIHATRP20210906-021","03/31/2026","12/09/2025","General Rounding","Medical Imaging"
"PC067017","HSS-8069154","4CJM0M3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","1","VIHATRP20221128-054","02/28/2027","12/11/2025","General Rounding","Medical Imaging"
"PC066043","HSS-8026023","4THFNK3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1138 - Reading Room","1","VIHATRP20220103-002","05/31/2026","12/11/2025","General Rounding","Medical Imaging"
"PC076051","HSS-8083650","330RG04","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1139 - Booking Office","1st Floor","VIHATRP20240219-037","03/31/2028","12/11/2025","General Rounding","Medical Imag Clerical Adm"
"PC043256","HSS-8060996","CW773Q3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1139 - Booking Office","1","VIHATRP20220808-080","11/30/2026","12/11/2025","General Rounding","Medical Imaging"
"PC039704","HSS-8060995","9Y773Q3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1139 - Booking Office","1","VIHATRP20220808-075","11/30/2026","12/09/2025","General Rounding","Medical Imaging"
"PC049847","HSS-8060997","GW773Q3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1139 - Booking office","1","VIHATRP20220808-061","11/30/2026","12/09/2025","General Rounding","Medical Imaging"
"PC039697","HSS-8061422","D4S2XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1139 - Booking Office","1","VIHATRP20220815-018","11/30/2026","12/09/2025","General Rounding","Medical Imaging"
"PC039699","HSS-8060994","9X773Q3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1139 - Booking Office","1","VIHATRP20220808-076","11/30/2026","12/09/2025","General Rounding","Medical Imaging"
"PC050428","HSS-8060998","HX773Q3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1139 - Booking Office (G237 for temp storage)","1","VIHATRP20220808-074","11/30/2026","05/18/2025","General Rounding","Medical Imaging"
"PC032004","HSS-8060991","5T33XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1139 - Heather Mayhew","1","VIHATRP20220808-078","11/30/2026","12/11/2025","General Rounding","Medical Imaging"
"LD091909","HSS-1111309","JHYQ774","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","Main","1139-WFH","1","REQ1763810-RITM1861444-SCTASK2991271","06/30/2029","06/10/2025","General Rounding","Medical Imaging Booking"
"LD031316","HSS-8076695","2R3Z4X3","Nanaimo","VIHA-NCST-Nanaimo Chapel Street-Main Building-Main Building-1st Floor","Main Building","113A","1","VIHATRP20230724-077","10/31/2027","07/10/2025","General Rounding","Public Health Nursing (QMC)"
"PC033982","HSS-8067925","7CW2XP3","Nanaimo","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","","114","","VIHATRP20221024-056","01/31/2027","","General Rounding",""
"LD030307","HSS-8059333","CP834J3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","114","1","VIHATRP20220620-058","11/30/2026","12/16/2025","General Rounding",""
"PC031798","HSS-8084816","GF94X04","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","114","1","VIHATRP20240325-023","04/30/2028","12/03/2025","General Rounding","(TBD)"
"LD075012","HSS-1940354","5TBKP54","Duncan","VIHA-CUPCC-Cowichan Urgent Primary Care Centre","Main","114","1","DMND0005307","03/31/2029","","",""
"LD038319","HSS-8078109","5CT85X3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","114","1","VIHATRP20230904-044","10/31/2027","01/25/2025","General Rounding","Dental Health"
"PC031801","HSS-8027695","55Q4VH3","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","114 (Long Term Care - Nurse Station)","1","VIHATRP20220328-020","06/30/2026","12/03/2025","General Rounding","Extended Care - Long Term Care"
"PC033596","HSS-8084815","HG94X04","Salt Spring Island","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","114 (Long Term Care - Nurse Station)","1","VIHATRP20240325-022","04/30/2028","12/03/2025","General Rounding","Long Term Care"
"PC037763","HSS-8077156","HKMVPR3","Duncan","VIHA-DCDF-Duncan Community Dialysis Facility-Main Building-1st Floor","Main Building","114 (Shared Office)","1","VIHATRP20230807-007","06/30/2027","12/16/2025","General Rounding","Dialysis"
"PC041440","HSS-8060500","BWB2RN3","Nanaimo","VIHA-NBCBC-Nanaimo Boundary Crescent Beaufort Centre-Main Building-1st Floor","Hospital Commons - Unit 7","114 - Registered Dietician","Upper level","VIHATRP20220802-008","11/30/2026","10/28/2025","General Rounding","Kidney Care Clinic"
"PC067143","HSS-8080299","32FVPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1140 (Endoscopic Suite)","1","VIHATRP20231113-003","06/30/2027","12/12/2025","General Rounding","Ambulatory Care Unit (ACU)"
"AO001697","HSS-8093572","C24102M090","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1140 (Endoscopic Suite)","1","ISLHTRP20250526-007","05/31/2028","12/12/2025","Mobile Cart","Cowichan Valley Home Support"
"PC050833","HSS-8078894","15VVPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1143NW (Mammo Exam Room)","1","VIHATRP20231003-029","06/30/2027","08/08/2025","General Rounding","Medical Imaging"
"PC039818","HSS-8080326","3Z9VPR3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1145 (Waiting Room Office)","1","VIHATRP20231113-030","06/30/2027","10/03/2025","General Rounding","Protection Services"
"PC040574","HSS-8065471","77D5XP3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1145 (Waiting Room Office)","1","VIHATRP20220808-160","12/31/2026","10/03/2025","General Rounding","Protection Services"
"PC051770","HSS-8083674","710RG04","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1147 Nuclear Medicine Control Room 1","1st Floor","VIHATRP20240219-061","03/31/2028","12/09/2025","General Rounding","Medical Imaging - Nuclear Medicine"
"PC051772","HSS-8062362","BK25XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1147 Nuclear Medicine Control Room 1","1","VIHATRP20220906-050","12/31/2026","12/09/2025","General Rounding","Medical Imaging - Nuclear Medicine"
"PC052390","HSS-8062363","3MF5XP3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1147B - White Cell Room","1","VIHATRP20220906-047","12/31/2026","12/11/2025","General Rounding","Medical Imaging - Nuclear Medicine"
"PC051777","HSS-8088700","9LH5724","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1149 - Hot Lab Room at Nuclear Med","1st Floor","VIHATRP20240722-071","09/30/2028","12/11/2025","General Rounding","CI Medical Imaging"
"LD071617","HSS-1033306","DJJFBK3","Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","114A","1","REQ0532735-RITM0559069-SCTASK0874506","06/30/2026","02/28/2025","General Rounding","CHS - Community Health Services"
"LD036446","HSS-8076462","8WXJTV3","Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","114B","1","VIHATRP20230717-075","08/31/2027","02/28/2025","General Rounding","Community Health Services (Advanced Lower Limb Assessment)"
"LD032083","HSS-8082583","1Q0SDY3","Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","114B (SMARTDOP Machine)","1","VIHATRP20240122-037","02/29/2028","02/28/2025","General Rounding","NSWOC"
"LD066178","HSS-8078096","FZ8G5X3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","115","1","VIHATRP20230904-031","10/31/2027","12/16/2025","General Rounding","Nanaimo Occupational Ther"
"PC032035","HSS-8067922","86S2XP3","Nanaimo","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services-Main Building-1st Floor","","115","","VIHATRP20221024-053","01/31/2027","06/06/2024","General Rounding",""
"LD073686","HSS-1043544","GZVZ4X3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","115","1","REQ1027748-RITM1081395-SCTASK1742339","09/30/2027","12/16/2025","General Rounding"," "
"LD066176","HSS-8078090","2P885X3","Nanaimo","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","115","1","VIHATRP20230904-025","10/31/2027","12/16/2025","General Rounding","Nanaimo Social Work"
